"ds","m","kendall_value"
"kick","WE (w=.25)","0.416"
"kick","WE (w=.50)","0.852"
"kick","WE (w=.75)","0.904"
"kick","All-Text","0.862666666666667"
"kick","Stack","0.842666666666667"
"jigsaw","WE (w=.25)","0.361379310344828"
"jigsaw","WE (w=.50)","0.481156840934371"
"jigsaw","WE (w=.75)","0.640409343715239"
"jigsaw","All-Text","0.306189098998888"
"jigsaw","Stack","0.217183537263626"
"wine","WE (w=.25)","0.712"
"wine","WE (w=.50)","0.936"
"wine","WE (w=.75)","0.968"
"wine","All-Text","0.968"
"fake","WE (w=.25)","0.648"
"fake","WE (w=.50)","0.68"
"fake","WE (w=.75)","0.696"
"fake","All-Text","0.696"
"fake","Stack","0.416"
"imdb_genre","WE (w=.25)","0.68"
"imdb_genre","WE (w=.50)","0.786666666666667"
"imdb_genre","WE (w=.75)","0.771428571428571"
"imdb_genre","All-Text","0.645714285714286"
"imdb_genre","Stack","0.516190476190476"
"channel","WE (w=.25)","0.62"
"channel","WE (w=.50)","0.705294117647059"
"channel","WE (w=.75)","0.706470588235294"
"channel","Stack","0.605294117647059"
"airbnb","WE (w=.25)","0.616765478424015"
"airbnb","WE (w=.50)","0.655114446529081"
"airbnb","WE (w=.75)","0.676232645403377"
"airbnb","All-Text","0.60997373358349"
"airbnb","Stack","0.627136960600375"
"salary","WE (w=.25)","0.584"
"salary","WE (w=.50)","0.634285714285714"
"salary","WE (w=.75)","0.634285714285714"
"salary","All-Text","0.524571428571429"
"prod_sent","WE (w=.25)","0.36"
"prod_sent","WE (w=.50)","0.04"
"prod_sent","WE (w=.75)","1"
"prod_sent","All-Text","0.36"
"prod_sent","Stack","0.25"
