,description,summary
1,"A large air conditioned room with queen spring mattress bed in a vintage apartment. Located right outside is a tram to the city just 19 minutes away. This area is known for its arts culture, live music, cafes and international food. The apartment is Deco/Edwardian in style and has polished floorboards and ornate ceilings and wooden blinds. Your room is large sized, has polished floorboards, a Queen sized spring mattress bed and vintage furniture. The rest of the flat also vintage style with 1940's style tiled bathroom with a shower bath, a groovy little kitchen and a deco style lounge room with vintage furniture and bric a brac. The flat is located next to two major public transport routes. Tram 96 is just 30 metres away and takes you south to the city centre in 15-20 minutes or all the way to St Kilda beach in 45 minutes. Bus stops take you east to Bundoora and west to Pacoevale. The Lygon Street tram line that goes past Melbourne University is 10 minutes walk west and Sydney Road and","A large air conditioned room with queen spring mattress bed in a vintage apartment. Located right outside is a tram to the city just 19 minutes away. This area is known for its arts culture, live music, cafes and international food."
2,"RIGHT IN THE HEART OF ST KILDA! It doesn't get more central than this! A fabulous north facing balcony apartment that offers right in the heart of the action location, yet a quiet spot with balcony views and only minutes to cafes, restaurants, shopping, grocery stores, supermarkets, St Kilda Beach, Albert Park Lake, home of the Grand Prix and trams into Melbourne City Centre right on your doorstep. The perfect base for your Melbourne adventure! FREE WiFi FREE in-building remote controlled garage parking bay with lift access First floor 1 bedroom apartment with lift access Open plan living, dining & full size kitchen North facing balcony with outdoor table & chairs Complimentary kitchen, bathroom & laundry starter provisions Comfy armchairs & footstools Dining table for 3 Flatscreen 32"" HD LCD TV in living room & 20""LCD TV in bedroom Sound system with iPod dock & DVD/CD player Selection of books, magazines, DVDs, CDs Glass framed console/desk with lamp Bedroom with queen bed, hotel qual","RIGHT IN THE HEART OF ST KILDA! It doesn't get more central than this! A fabulous north facing balcony apartment that offers right in the heart of the action location, yet a quiet spot with balcony views and only minutes to cafes, restaurants, shopping, grocery stores, supermarkets, St Kilda Beach, Albert Park Lake, home of the Grand Prix and trams into Melbourne City Centre right on your doorstep. The perfect base for your Melbourne adventure!"
3,"Comfortable, relaxed house, a home away from  home! This is a shared house, you will be sharing with me, plus the occasional other guest. Rooms are large so you will have plenty of private space. The atmosphere is relaxed and easy going. You can make yourself at home for two days, or longer, or however long you wish to stay. This is a quiet house though we do like to share the occasional conversation or drink, or even a meal if the mood strikes.  Your room has large French doors that open out onto a shaded porch. It has a bed, a wardrobe with mirror, plus a writing table. There are plenty of sheets and towels. It is right near the shared bathroom. You are welcome to make yourself at home in the kitchen as long as you clean up. There is plenty of room in the pantry to store food, as well as in the fridge. Feel free to relax in the lounge room, watch a movie, or TV, or relax in the back yard. Guest's privacy will be respected at all times. If you need information and tips on where to go,","Comfortable, relaxed house, a home away from  home! This is a shared house, you will be sharing with me, plus the occasional other guest. Rooms are large so you will have plenty of private space."
5,"Please note: No booking will be accepted with children under the age of 13 years.  Accommodation is non smoking in apartment & on grounds.  All visitors must be announced during your stay before entering the property. Please note: No booking will be accepted with children under the age of 13 years.  Accommodation is non smoking in apartment & on property grounds.  Any visitors to the apartment must be checked with the owners at the front door before entering the property.   We are a young family of 5 heartily involved in sports & church activities.  We love keeping fit and live on a quarter acre (1000m2) block in middle class Berwick,  We have a large 7 bedroom house which includes a 3 bedroom upper floor apartment (which is where you will be staying).  The main bedroom (Summer Room) has a Queen size bed & base with your own private bathroom, toilet & living area with stereo and 32"" LCD TV. A second bedroom (Autumn Room) is available with another Queen size bed for extra travelers if r",Please note: No booking will be accepted with children under the age of 13 years.  Accommodation is non smoking in apartment & on grounds.  All visitors must be announced during your stay before entering the property.
6,"Easy to travel from and to the Airport; quiet and safe neighbourhood; a spacious and sunny room; backyard for sun baking; a friendly host who are easy going and super friendly! I would like to make your journey more comfortable! My place is great for guest from overseas, interstate or want to live in northern suburbs. If you like live in CBD, this one is not for you, if you are looking for someplace that is between airport and city, have free places to park your car, and like a spacious and quite place for some privacy, or not in rush and happy to travel 30 minutes on the train to city(like us local people do) , it is the perfect place for you. Recently, we have upgraded lighting to LED ceiling lights with adjustable lighting in the bedrooms, we have bought new queen size bed to make the guest room more comfortable.   The guest bedrooms provided here for your comfort is in a two bedroom unit with 100sqm backyard(my green garden). This bedroom is airy and bright with big windows. Your r",Easy to travel from and to the Airport; quiet and safe neighbourhood; a spacious and sunny room; backyard for sun baking; a friendly host who are easy going and super friendly! I would like to make your journey more comfortable!
8,"Study the exquisite detail of the antique Javanese garden wall, or meditate beside the calming fish pond. BBQ on the huge covered deck, also a perfect place for catching some morning rays. Or settle back with a book from the well-stocked shelves.","Study the exquisite detail of the antique Javanese garden wall, or meditate beside the calming fish pond. BBQ on the huge covered deck, also a perfect place for catching some morning rays. Or settle back with a book from the well-stocked shelves."
9,"Light filled private room with Queen bed tastefully decorated with desk, lamps and roll down shutters - to keep you cool in summer and dark for sleep.  Situated right at the back of the house and down the passage way the room is quiet and private. Luxury spacious accommodation at an affordable price which is friendly, clean, safe and secure. This stunning property is located in the heart of Frankston on the Mornington Peninsula. Close to beaches, wineries, shops, hospitals and universities. Public transport at the end of the street (approx 1 hr to Melbourne CBD) freeway direct to the city is 2 mins away. Grocery shops, post office and community coffee shops all within 5 mins walk. The Private room is tastefully furnished with a queen size bed, desk, lamps and built in robes.  The house is huge with 3 toilets, 2 bathrooms and a beautiful warm amazing living area - ducted heating for winter and airconditioning for summer. All linen,towels,Internet access and off street parking provided.","Light filled private room with Queen bed tastefully decorated with desk, lamps and roll down shutters - to keep you cool in summer and dark for sleep.  Situated right at the back of the house and down the passage way the room is quiet and private."
10,"I am Melbourne's longest-running host, and go out of my way to make sure each booking is seamless - I pride myself on value, communication and comfort. Quality linen, beautiful furniture and in an excellent location. This apartment has charm, style and everything you'd need for a fantastic stay, whether it's for business, leisure or a romantic getaway. This cosy little flat has hosted 500+ people from all over the world and absolutely loved it! 100% of proceeds from this Airbnb listing go towards the running of the charity that I founded in 2013. So you can feel like a hero and stay at Melbourne's original Airbnb at the same time! With the CBD just 3km away (either a short tram trip, bike ride or lovely half-hour walk), Richmond is the best place to experience Melbourne. The apartment is surrounded by cafes, restaurant and shopping strips (Bridge Road, Swan Street, Victoria Street), shops, boutiques, bars and pubs. Full of natural light, in a very well-maintained building, the apartmen","I am Melbourne's longest-running host, and go out of my way to make sure each booking is seamless - I pride myself on value, communication and comfort. Quality linen, beautiful furniture and in an excellent location. This apartment has charm, style and everything you'd need for a fantastic stay, whether it's for business, leisure or a romantic getaway. This cosy little flat has hosted 500+ people from all over the world and absolutely loved it!"
11,"Absolute SUPER CENTRAL LOCATION in hip and cool beachside St Kilda! Stunning designer 2 courtyards garden apartment in a small boutique block of only 4 apartments, located minutes to cafes, restaurants, night life, shopping, grocery stores, beach, Albert Park Lake, trams, and Melbourne City Centre. FREE WiFi Ground floor 2 bedroom apartment Open plan living, dining & full size kitchen Two private sunny leafy courtyards with outdoor table & chairs Complimentary welcome kitchen, bathroom & laundry starter provisions 2.5 seat sofa & armchair Dining table for 4 Flatscreen 42"" HD Plasma TV in living room & 20” in main bedroom Sound system with iPod dock & DVD/CD player Selection of books, magazines, DVDs, CDs Bedrooms with king bed (choice of king or king singles in second bedroom), hotel quality linens, blankets, bed side tables, reading lamps, dress mirror & block out blinds Luxury central bathroom with walk-in rain shower & plush bath towels Euro laundry with washer/dryer Hair dryer, iro","Absolute SUPER CENTRAL LOCATION in hip and cool beachside St Kilda! Stunning designer 2 courtyards garden apartment in a small boutique block of only 4 apartments, located minutes to cafes, restaurants, night life, shopping, grocery stores, beach, Albert Park Lake, trams, and Melbourne City Centre."
12,"Absolutely in the centre of Melbourne, this converted, open-plan warehouse is full of natural light and character. Easy walking distance to all points in the city as well as Southbank, Docklands, Carlton and Fitzroy. One of a kind laneway experience. Parties, events and gatherings of any kind are not permitted. One-of-a-kind warehouse conversion in an unbeatable city location for shoppers, foodies and culture lovers. See a video of this apartment on the Sydney Weekender website when it was featured by AirBnB. Search for AirBnB and Melbourne and it should come up. My apartment is located seconds from the official centre of Melbourne, yet it's in a quiet lane with excellent natural light. The centre of Melbourne is known for its many laneways which are full of smart bars, cool cafes, art galleries and some world class graffiti art. One of the nations' premier coffee houses, Brother Baba Budan (aka the cafe with the chairs hanging from the ceiling) is located on the corner of the laneway.","Absolutely in the centre of Melbourne, this converted, open-plan warehouse is full of natural light and character. Easy walking distance to all points in the city as well as Southbank, Docklands, Carlton and Fitzroy. One of a kind laneway experience. Parties, events and gatherings of any kind are not permitted."
