"ds","tm","kendall_value"
"kick","DistilBERT","0.808163265306122"
"kick","BERT","0.665986394557823"
"kick","DistilRoBERTa","0.826530612244898"
"kick","DeBERTa","0.668027210884354"
"jigsaw","DistilBERT","0.183360196136297"
"jigsaw","BERT","0.130512360672856"
"jigsaw","DistilRoBERTa","0.129127602097569"
"jigsaw","DeBERTa","0.174425098181653"
"wine","DistilBERT","0.75"
"wine","BERT","0.75"
"wine","DistilRoBERTa","0.822222222222222"
"wine","DeBERTa","0.827777777777778"
"fake","DistilBERT","0.673469387755102"
"fake","BERT","0.653061224489796"
"fake","DistilRoBERTa","0.730612244897959"
"fake","DeBERTa","0.608163265306122"
"imdb_genre","DistilBERT","0.376093294460641"
"imdb_genre","BERT","0.335276967930029"
"imdb_genre","DistilRoBERTa","0.246841593780369"
"imdb_genre","DeBERTa","0.430515063168124"
"channel","DistilBERT","0.632745098039216"
"channel","BERT","0.604901960784314"
"channel","DistilRoBERTa","0.610392156862745"
"channel","DeBERTa","0.627254901960784"
"airbnb","DistilBERT","0.577551020408163"
"airbnb","BERT","0.559430639047364"
"airbnb","DistilRoBERTa","0.549023624459165"
"airbnb","DeBERTa","0.571317532641574"
"salary","DistilBERT","0.625396825396825"
"salary","BERT","0.682539682539683"
"salary","DistilRoBERTa","0.66984126984127"
"salary","DeBERTa","0.641269841269841"
"prod_sent","BERT","0.111111111111111"
"prod_sent","DistilRoBERTa","0"
"prod_sent","DeBERTa","0.111111111111111"
